City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,krasnovka,48.8177,40.0923,-2.37,73,89,7.09,RU,1674456751
151,guadalupe y calvo,26.1,-106.9667,-1.43,45,0,2.65,MX,1674456752
152,coihaique,-45.5752,-72.0662,9.97,71,0,1.03,CL,1674456513
153,sioux lookout,50.1001,-91.917,-6.96,79,75,4.12,CA,1674456752
154,morris,40.8334,-74.5329,2.18,95,100,2.06,US,1674456620
155,saldanha,-33.0117,17.9442,20.03,83,5,3.54,ZA,1674456753
156,touros,-5.1989,-35.4608,25.68,82,7,3.74,BR,1674456753
157,khatanga,71.9667,102.5,-42.73,98,54,0.66,RU,1674456754
158,port alfred,-33.5906,26.891,25.1,91,31,0.89,ZA,1674456754
159,chicama,-7.8447,-79.1469,19.3,72,96,1.55,PE,1674456754
160,maningrida,-12.0667,134.2667,24.06,87,100,4.44,AU,1674456755
161,caconda,-13.7333,15.0667,15.47,94,100,1.82,AO,1674456755
162,jiangyou,31.7667,104.7167,11.01,35,98,5.58,CN,1674456755
163,manado,1.487,124.8455,27.43,83,40,2.06,ID,1674456756
164,kasongo-lunda,-6.4667,16.8167,23.02,81,100,0.14,CD,1674456756
165,katsuura,35.1333,140.3,6.01,79,100,2.71,JP,1674456756
166,zyryanka,65.75,150.85,-34.2,97,100,4.56,RU,1674456757
167,ponta do sol,32.6667,-17.1,17.62,65,61,3.79,PT,1674456757
168,zhigalovo,54.8097,105.1578,-30.17,85,27,1.07,RU,1674456757
169,pangkalanbuun,-2.6833,111.6167,30.77,62,100,2.14,ID,1674456758
170,severo-yeniseyskiy,60.3725,93.0408,-23.22,96,100,2.46,RU,1674456758
171,montgomery,39.1501,-77.1997,3.51,95,100,1.79,US,1674456758
172,kaiyuan,23.6977,103.3037,24.27,22,23,2.94,CN,1674456759
173,estrela,-28.0611,-50.9383,15.28,97,6,1.0,BR,1674456759
174,skjervoy,70.0311,20.9714,9.0,75,100,6.01,NO,1674456759
175,tabuk,17.4189,121.4443,27.8,66,32,1.96,PH,1674456760
176,chapais,49.7834,-74.8492,-9.12,98,100,1.65,CA,1674456760
177,salalah,17.0151,54.0924,23.79,58,12,3.09,OM,1674456721
178,san clemente,33.427,-117.612,13.17,77,0,0.45,US,1674456760
179,ramhormoz,31.28,49.6035,17.15,35,0,0.42,IR,1674456761
180,hirara,24.8,125.2833,21.15,78,75,5.66,JP,1674456761
181,beringovskiy,63.05,179.3167,-22.31,96,100,6.71,RU,1674456762
182,guilin,25.2819,110.2864,9.06,72,100,3.62,CN,1674456762
183,ikongo,-21.8833,47.4333,22.46,98,100,1.38,MG,1674456762
184,espanola,35.9911,-106.0806,2.86,52,100,1.34,US,1674456572
185,kununurra,-15.7667,128.7333,35.99,46,40,4.63,AU,1674456512
186,tucumcari,35.1717,-103.725,-3.09,54,0,3.09,US,1674456763
187,lucapa,-8.4192,20.7447,20.89,85,100,1.78,AO,1674456763
188,kavieng,-2.5744,150.7967,28.5,75,100,6.68,PG,1674456764
189,ballina,-28.8667,153.5667,25.43,80,23,4.5,AU,1674456764
190,son la,21.3167,103.9,27.62,29,36,1.23,VN,1674456764
191,adrar,20.5022,-10.0711,13.44,17,0,4.48,MR,1674456765
192,rawah,34.4816,41.9093,13.02,41,0,0.91,IQ,1674456765
